resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
for its 100 minutes running time you'll wait in vain for a movie to happen,for its 100 minutes running time you'll wait in vain for a movie to happen,1
shankman and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story,shankman and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story,1
the art direction is often exquisite and the anthropomorphic animal characters are beautifully realized through clever makeup design leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack,the art direction is often exquisite and the anthropomorphic animal characters are beautifully realized through clever makeup design leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack,1
full frontal had no effect and elicited no sympathies for any of the characters by that measure it is a failure,it's also curious to note that this film like the similarly ill-timed antitrust is easily as bad at a fraction the budget,0
clare peploe's airless movie adaptation could use a little american pie-like irreverence,'the château is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot ',0
a disappointment for those who love alternate versions of the bard particularly ones that involve deep fryers and hamburgers,a disappointment for those who love alternate versions of the bard particularly ones that involve deep fryers and hamburgers,1
in the not-too-distant future movies like ghost ship will be used as analgesic balm for overstimulated minds right now they're merely signposts marking the slow lingering death of imagination,in the not-too-distant future movies like ghost ship will be used as analgesic balm for overstimulated minds right now they're merely signposts marking the slow lingering death of imagination,1
the cartoon is about as true to the spirit of the festival of lights as mr deeds was to that of frank capra,the cartoon is about as true to the spirit of the festival of lights as mr deeds was to that of frank capra,1
nervous breakdowns are not entertaining,enigma is well-made but it's just too dry and too placid,0
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks,bad company has one of the most moronic screenplays of the year full of holes that will be obvious even to those who aren't looking for them,0
bella is the picture of health with boundless energy until a few days before she dies this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer,bella is the picture of health with boundless energy until a few days before she dies this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer,1
serry does a fine job of capturing the climate of the times and perhaps unwittingly relating it to what is happening in america in 2002 but hard-to-believe plot twists force the movie off track in its final half hour,serry does a fine job of capturing the climate of the times and perhaps unwittingly relating it to what is happening in america in 2002 but hard-to-believe plot twists force the movie off track in its final half hour,1
an authentically vague but ultimately purposeless study in total pandemonium,an authentically vague but ultimately purposeless study in total pandemonium,1
meyjes's movie like max rothman's future does not work,meyjes's movie like max rothman's future does not work,1
an empty purposeless exercise,and people make fun of me for liking showgirls</>,0
the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point unless it's that life stinks especially for sensitive married women who really love other women,the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point unless it's that life stinks especially for sensitive married women who really love other women,1
the film's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence,they should have called it gutterball,0
a 'girls gone wild' video for the boho art-house crowd the burning sensation isn't a definitive counter-cultural document -- its makers aren't removed and inquisitive enough for that,for casual moviegoers who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson's creek they'll probably run out screaming,0
a direct-to-void release heading nowhere,has all the poignancy of a hallmark card and all the comedy of a gallagher stand-up act,0
too many improbabilities and rose-colored situations temper what could've been an impacting film,too many improbabilities and rose-colored situations temper what could've been an impacting film,1
a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to,the so-inept- it's-surreal dubbing ( featuring the voices of glenn close regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks,0
you've already seen heartbreak if you've watched the far superior nurse betty or sunset boulevard even the unwatchable soapdish is more original,a very familiar tale one that's been told by countless filmmakers about italian- chinese- irish- latin- indian- russian- and other hyphenate american young men struggling to balance conflicting cultural messages,0
it's not that waiting for happiness is a bad film because it isn't it's just incredibly dull,it's not that waiting for happiness is a bad film because it isn't it's just incredibly dull,1
the only type of lives this glossy comedy-drama resembles are ones in formulaic mainstream movies,wendigo wants to be a monster movie for the art-house crowd but it falls into the trap of pretention almost every time,0
moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured,with the dog days of august upon us think of this dog of a movie as the cinematic equivalent of high humidity,0
narc is all menace and atmosphere,when the fire burns out we've only come face-to-face with a couple dragons and that's where the film ultimately fails,0
it makes me feel weird / thinking about all the bad things in the world / like puppies with broken legs / and butterflies that die / and movies starring pop queens,it makes me feel weird / thinking about all the bad things in the world / like puppies with broken legs / and butterflies that die / and movies starring pop queens,1
belongs in the too-hot-for-tv direct-to-video/dvd category and this is why i have given it a one-star rating,the film makes a tragic error by going on for too long trying to mirror every subsequent event in chinese history : war revolution communism etc,0
maybe it's asking too much but if a movie is truly going to inspire me i want a little more than this,maybe it's asking too much but if a movie is truly going to inspire me i want a little more than this,1
done in mostly by a weak script that can't support the epic treatment,in the telling of a story largely untold bui chooses to produce something that is ultimately suspiciously familiar,0
there are many things that solid acting can do for a movie but crafting something promising from a mediocre screenplay is not one of them,there are many things that solid acting can do for a movie but crafting something promising from a mediocre screenplay is not one of them,1
what more can be expected from a college comedy that's target audience hasn't graduated from junior high school ?,what more can be expected from a college comedy that's target audience hasn't graduated from junior high school ?,1
contains the humor characterization poignancy and intelligence of a bad sitcom,contains the humor characterization poignancy and intelligence of a bad sitcom,1
almost everything about the film is unsettling from the preposterous hairpiece worn by lai's villainous father to the endless action sequences,solaris " is a shapeless inconsequential move relying on the viewer to do most of the work,0
illiterate often inert sci-fi action thriller,sushi for the connoisseurs of the macabre,0
warmed-over tarantino by way of wannabe elmore leonard,warmed-over tarantino by way of wannabe elmore leonard,1
narc is all menace and atmosphere,narc is all menace and atmosphere,1
the screenplay is hugely overwritten with tons and tons of dialogue -- most of it given to children,the screenplay is hugely overwritten with tons and tons of dialogue -- most of it given to children,1
the story of trouble every day is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film and the movie's fragmentary narrative style makes piecing the story together frustrating difficult,the elements were all there but lack of a pyschological center knocks it flat,0
her fans walked out muttering words like " horrible " and " terrible " but had so much fun dissing the film that they didn't mind the ticket cost in this case zero,i was feeling this movie until it veered off too far into the exxon zone and left me behind at the station looking for a return ticket to realism,0
instead of using george and lucy's most obvious differences to ignite sparks lawrence desperately looks elsewhere seizing on george's haplessness and lucy's personality tics,instead of using george and lucy's most obvious differences to ignite sparks lawrence desperately looks elsewhere seizing on george's haplessness and lucy's personality tics,1
is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,for all its brilliant touches dragon loses its fire midway nearly flickering out by its perfunctory conclusion,0
i'm guessing the director is a magician after all he took three minutes of dialogue 30 seconds of plot and turned them into a 90-minute movie that feels five hours long,i'm guessing the director is a magician after all he took three minutes of dialogue 30 seconds of plot and turned them into a 90-minute movie that feels five hours long,1
if it had been only half-an-hour long or a tv special the humor would have been fast and furious-- at ninety minutes it drags,an uplifting drama what antwone fisher isn't however is original,0
a blair witch- style adventure that plays like a bad soap opera with passable performances from everyone in the cast,a blair witch- style adventure that plays like a bad soap opera with passable performances from everyone in the cast,1
stuffy full of itself morally ambiguous and nothing to shout about,a bit of an unwieldy mess,0
plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story,plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story,1
fear permeates the whole of stortelling todd solondz' oftentimes funny yet ultimately cowardly autocritique,a vile incoherent mess a scummy ripoff of david cronenberg's brilliant 'videodrome ',0
the people in abc africa are treated as docile mostly wordless ethnographic extras,the people in abc africa are treated as docile mostly wordless ethnographic extras,1
stale futile scenario,stale futile scenario,1
it's just hard to believe that a life like this can sound so dull,it's just hard to believe that a life like this can sound so dull,1
the actors improvise and scream their way around this movie directionless lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen,the actors improvise and scream their way around this movie directionless lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen,1
something has been lost in the translation another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise,a tired unnecessary retread a stale copy of a picture that wasn't all that great to begin with,0
something akin to a japanese alice through the looking glass except that it seems to take itself far more seriously,something akin to a japanese alice through the looking glass except that it seems to take itself far more seriously,1
an unimaginative nasty glibly cynical piece of work,the messages of compassion and mercy are clearly squarely and specifically expounded via computer animated old testament tale of jonah and the whale determined to be fun and bouncy with energetic musicals the humor didn't quite engage this adult,0
sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser above its paint-by-numbers plot,a film that presents an interesting even sexy premise then ruins itself with too many contrivances and goofy situations,0
an excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay,an excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay,1
little more than a frothy vanity project,the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts,0
a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams,sandra bullock and hugh grant make a great team but this predictable romantic comedy should get a pink slip,0
the good and different idea [of middle-aged romance] is not handled well and except for the fine star performances there is little else to recommend " never again ",the good and different idea [of middle-aged romance] is not handled well and except for the fine star performances there is little else to recommend " never again ",1
i approached the usher and said that if she had to sit through it again she should ask for a raise,i approached the usher and said that if she had to sit through it again she should ask for a raise,1
high crimes carries almost no organic intrigue as a government/ marine/legal mystery and that's because the movie serves up all of that stuff nearly subliminally as the old-hat province of male intrigue,a weird little movie that's amusing enough while you watch it offering fine acting moments and pungent insights into modern l a 's show-biz and media subcultures but it doesn't leave you with much,0
the episodic film makes valid points about the depersonalization of modern life but the characters tend to be cliches whose lives are never fully explored,the episodic film makes valid points about the depersonalization of modern life but the characters tend to be cliches whose lives are never fully explored,1
a prison comedy that never really busts out of its comfy little cell,la de salma es una versión de frida superficial preciosista y sin ningún contenido,0
if you're a crocodile hunter fan you'll enjoy at least the " real " portions of the film if you're looking for a story don't bother,if you're a crocodile hunter fan you'll enjoy at least the " real " portions of the film if you're looking for a story don't bother,1
an ambitious serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance,an ambitious serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance,1
schaefer's determination to inject farcical raunch drowns out the promise of the romantic angle,schaefer's determination to inject farcical raunch drowns out the promise of the romantic angle,1
too campy to work as straight drama and too violent and sordid to function as comedy vulgar is truly and thankfully a one-of-a-kind work,what puzzles me is the lack of emphasis on music in britney spears' first movie,0
'punch-drunk love is so convinced of its own brilliance that if it were a person you'd want to smash its face in ',meandering and confusing,0
the tone shifts abruptly from tense to celebratory to soppy,the tone shifts abruptly from tense to celebratory to soppy,1
extremely bad,extremely bad,1
sinks into the usual cafeteria goulash of fart jokes masturbation jokes and racist japanese jokes,sinks into the usual cafeteria goulash of fart jokes masturbation jokes and racist japanese jokes,1
let's face it -- there aren't many reasons anyone would want to see crossroads if they're not big fans of teen pop kitten britney spears,let's face it -- there aren't many reasons anyone would want to see crossroads if they're not big fans of teen pop kitten britney spears,1
routine and rather silly,hope keeps arising that the movie will live up to the apparent skills of its makers and the talents of its actors but it doesn't,0
much of the digitally altered footage appears jagged as if filmed directly from a television monitor while the extensive use of stock footage quickly becomes a tiresome cliché,much of the digitally altered footage appears jagged as if filmed directly from a television monitor while the extensive use of stock footage quickly becomes a tiresome cliché,1
it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script unimpressive acting and indifferent direction,the problem with the mayhem in formula 51 is not that it's offensive but that it's boring,0
all of the filmmakers' calculations can't rescue brown sugar from the curse of blandness,a horrible 99-minute stink bomb,0
a bland pretentious mess,elmo touts his drug as being 51 times stronger than coke if you're looking for a tale of brits behaving badly watch snatch again it's 51 times better than this,0
consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire,even film silliness needs a little gravity beyond good hair and humping,0
the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,1
a movie that's held captive by mediocrity not bad but not all that good bacon keeps things interesting but don't go out of your way to pay full price,there is not a character in the movie with a shred of plausibility not an event that is believable not a confrontation that is not staged not a moment that is not false,0
a gratingly unfunny groaner littered with zero-dimensional unlikable characters and hackneyed threadbare comic setups,a gratingly unfunny groaner littered with zero-dimensional unlikable characters and hackneyed threadbare comic setups,1
its initial excitement settles into a warmed over pastiche,the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold,0
it's a gag that's worn a bit thin over the years though don't ask still finds a few chuckles,the tuxedo wasn't just bad ; it was as my friend david cross would call it 'hungry-man portions of bad',0
if we're to slap protagonist genevieve leplouff because she's french do we have that same option to slap her creators because they're clueless and inept ?,violent vulgar and forgettably entertaining,0
the mushy finale turns john q into a movie-of-the-week tearjerker,nicks seemingly uncertain what's going to make people laugh runs the gamut from stale parody to raunchy sex gags to formula romantic comedy,0
just a collection of this and that -- whatever fills time -- with no unified whole,it's been 20 years since 48 hrs made eddie murphy a movie star and the man hasn't aged a day but his showboating wise-cracker stock persona sure is getting old,0
as if drop dead gorgeous wasn't enough this equally derisive clunker is fixated on the spectacle of small-town competition,fails to satisfactorily exploit its gender politics genre thrills or inherent humor,0
the movie is too impressed with its own solemn insights to work up much entertainment value,the movie is too impressed with its own solemn insights to work up much entertainment value,1
it is too bad that this likable movie isn't more accomplished the actors try hard but come off too amateurish and awkward,see clockstoppers if you have nothing better to do with 94 minutes but be warned you too may feel time has decided to stand still or that the battery on your watch has died,0
as violent profane and exploitative as the most offensive action flick you've ever seen,the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing,0
were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls he might have been tempted to change his landmark poem to 'do not go gentle into that good theatre ',were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls he might have been tempted to change his landmark poem to 'do not go gentle into that good theatre ',1
the film flat lines when it should peak and is more missed opportunity and trifle than dark decadent truffle,the film flat lines when it should peak and is more missed opportunity and trifle than dark decadent truffle,1
never does " lilo & stitch " reach the emotion or timelessness of disney's great past or even that of more recent successes such as " mulan " or " tarzan ",never does " lilo & stitch " reach the emotion or timelessness of disney's great past or even that of more recent successes such as " mulan " or " tarzan ",1
the only thing in pauline and paulette that you haven't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers,the only thing in pauline and paulette that you haven't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers,1
[a] slummer,[a] slummer,1
although the sequel has all the outward elements of the original the first film's lovely flakiness is gone replaced by the forced funniness found in the dullest kiddie flicks,it's hard to imagine any recent film independent or otherwise that makes as much of a mess as this one,0
what could have been right at home as a nifty plot line in steven soderbergh's traffic fails to arrive at any satisfying destination,what could have been right at home as a nifty plot line in steven soderbergh's traffic fails to arrive at any satisfying destination,1
the film desperately sinks further and further into comedy futility,the film desperately sinks further and further into comedy futility,1
if religious films aren't your bailiwick stay away otherwise this could be a passable date film,at the bottom rung of the series' entries,0
a shoddy male hip hop fantasy filled with guns expensive cars lots of naked women and rocawear clothing," abandon " will leave you wanting to abandon the theater,0
a perplexing example of promise unfulfilled despite many charming moments,in the end the movie collapses on its shaky foundation despite the best efforts of director joe carnahan,0
the verdict : two bodies and hardly a laugh between them,the verdict : two bodies and hardly a laugh between them,1
short and sweet but also more than anything else slight… tadpole pulls back from the consequences of its own actions and revelations,short and sweet but also more than anything else slight… tadpole pulls back from the consequences of its own actions and revelations,1
very stupid and annoying,very stupid and annoying,1
the overall feel of the film is pretty cheesy but there's still a real sense that the star trek tradition has been honored as best it can given the embarrassing script and weak direction,the overall feel of the film is pretty cheesy but there's still a real sense that the star trek tradition has been honored as best it can given the embarrassing script and weak direction,1
the thing looks like a made-for-home-video quickie,this dubious product of a college-spawned ( colgate u ) comedy ensemble known as broken lizard plays like a mix of cheech and chong and chips,0
`martin lawrence live' is so self-pitying i almost expected there to be a collection taken for the comedian at the end of the show,`martin lawrence live' is so self-pitying i almost expected there to be a collection taken for the comedian at the end of the show,1
a sermonizing and lifeless paean to teenage dullards,a sermonizing and lifeless paean to teenage dullards,1
'lovely and amazing ' unhappily is neither excessively strained and contrived,'lovely and amazing ' unhappily is neither excessively strained and contrived,1
all the queen's men is a throwback war movie that fails on so many levels it should pay reparations to viewers,children of the century though well dressed and well made ultimately falls prey to the contradiction that afflicts so many movies about writers,0
has all the scenic appeal of a cesspool,life is a crock -- or something like it,0
no telegraphing is too obvious or simplistic for this movie,no telegraphing is too obvious or simplistic for this movie,1
cho's fans are sure to be entertained ; it's only fair in the interest of full disclosure to say that -- on the basis of this film alone -- i'm not one of them,cho's fans are sure to be entertained ; it's only fair in the interest of full disclosure to say that -- on the basis of this film alone -- i'm not one of them,1
though a bit of a patchwork in script and production a glossy rich green environment almost makes the picture work,though a bit of a patchwork in script and production a glossy rich green environment almost makes the picture work,1
a baffling misfire and possibly the weakest movie [woody allen] has made in the last twenty years,scores no points for originality wit or intelligence it's a cookie-cutter movie a cut-and-paste job,0
not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream it also represents glossy hollywood at its laziest,not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream it also represents glossy hollywood at its laziest,1
viewed as a comedy a romance a fairy tale or a drama there's nothing remotely triumphant about this motion picture,viewed as a comedy a romance a fairy tale or a drama there's nothing remotely triumphant about this motion picture,1
it's as if you're watching a movie that was made in 1978 but not released then because it was so weak and it has been unearthed and released now when it has become even weaker,this is junk food cinema at its greasiest,0
" analyze that " is one of those crass contrived sequels that not only fails on its own but makes you second-guess your affection for the original,none of this violates the letter of behan's book but missing is its spirit its ribald full-throated humor,0
it's young guns meets goodfellas in this easily skippable hayseeds-vs -greaseballs mob action-comedy,it's young guns meets goodfellas in this easily skippable hayseeds-vs -greaseballs mob action-comedy,1
i felt sad for lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier by rohmer for example,i felt sad for lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier by rohmer for example,1
needed a little less bling-bling and a lot more romance,needed a little less bling-bling and a lot more romance,1
a movie in which laughter and self-exploitation merge into jolly soft-porn 'empowerment ',grant isn't cary and bullock isn't katherine,0
cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds,this toothless dog already on cable loses all bite on the big screen,0
the film's overall mood and focus is interesting but constantly unfulfilling,audiences will find no mention of political prisoners or persecutions that might paint the castro regime in less than saintly tones,0
the direction occasionally rises to the level of marginal competence but for most of the film it is hard to tell who is chasing who or why,it's dumb but more importantly it's just not scary,0
one of the most highly-praised disappointments i've had the misfortune to watch in quite some time,one of the most highly-praised disappointments i've had the misfortune to watch in quite some time,1
none of this is half as moving as the filmmakers seem to think,none of this is half as moving as the filmmakers seem to think,1
the film suffers from a lack of humor ( something needed to balance out the violence ),the film suffers from a lack of humor ( something needed to balance out the violence ),1
a little too pat for its own good,the film goes from being an unusual sci-fi character study to a chase flick that detracts from its ending,0
the movie is just a plain old monster,the name says it all jackass is a vulgar and cheap-looking version of candid camera staged for the marquis de sade set,0
if there was any doubt that peter o'fallon didn't have an original bone in his body a rumor of angels should dispel it,if there was any doubt that peter o'fallon didn't have an original bone in his body a rumor of angels should dispel it,1
michele is a such a brainless flibbertigibbet that it's hard to take her spiritual quest at all seriously,michele is a such a brainless flibbertigibbet that it's hard to take her spiritual quest at all seriously,1
like a grinning jack o' lantern its apparent glee is derived from a lobotomy having had all its vital essence scooped out and discarded,like a grinning jack o' lantern its apparent glee is derived from a lobotomy having had all its vital essence scooped out and discarded,1
the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration,brady achieves the remarkable feat of squandering a topnotch foursome of actors by shoving them into every clichéd white-trash situation imaginable,0
despite terrific special effects and funnier gags harry potter and the chamber of secrets finds a way to make j k rowling's marvelous series into a deadly bore,despite terrific special effects and funnier gags harry potter and the chamber of secrets finds a way to make j k rowling's marvelous series into a deadly bore,1
it briefly flirts with player masochism but the point of real interest -– audience sadism -- is evaded completely,the notion of deleting emotion from people even in an advanced prozac nation is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus,0
just dreadful i don't blame eddie murphy but shouldn't owen wilson know a movie must have a story and a script ?,just dreadful i don't blame eddie murphy but shouldn't owen wilson know a movie must have a story and a script ?,1
ultimately sarah's dedication to finding her husband seems more psychotic than romantic and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness,ultimately sarah's dedication to finding her husband seems more psychotic than romantic and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness,1
reno does what he can in a thankless situation the film ricochets from humor to violence and back again and ryoko hirosue makes us wonder if she is always like that,reno does what he can in a thankless situation the film ricochets from humor to violence and back again and ryoko hirosue makes us wonder if she is always like that,1
no such thing is sort of a minimalist beauty and the beast but in this case the beast should definitely get top billing robert john burke as the monster horns in and steals the show,almost as offensive as " freddy got fingered ",0
no amount of blood and disintegrating vampire cadavers can obscure this movie's lack of ideas,possibly the most irresponsible picture ever released by a major film studio,0
rumor a muddled drama about coming to terms with death feels impersonal almost generic,[a] rather thinly-conceived movie,0
to build a feel-good fantasy around a vain dictator-madman is off-putting to say the least not to mention inappropriate and wildly undeserved,scotland pa is entirely too straight-faced to transcend its clever concept,0
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno,1
star trek : nemesis meekly goes where nearly every star trek movie has gone before wince-inducing dialogue thrift-shop costumes prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty,star trek : nemesis meekly goes where nearly every star trek movie has gone before wince-inducing dialogue thrift-shop costumes prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty,1
this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors,this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors,1
the premise of " abandon " holds promise but its delivery is a complete mess,the premise of " abandon " holds promise but its delivery is a complete mess,1
a sleek advert for youthful anomie that never quite equals the sum of its pretensions,a sleek advert for youthful anomie that never quite equals the sum of its pretensions,1
del toro maintains a dark mood that makes the film seem like something to endure instead of enjoy,one-sided documentary offers simplistic explanations to a very complex situation stylistically the movie is a disaster,0
constantly slips from the grasp of its maker,the obligatory break-ups and hook-ups don't seem to have much emotional impact on the characters,0
a baffling subplot involving smuggling drugs inside danish cows falls flat and if you're going to alter the bard's ending you'd better have a good alternative,this is a third-person story now told by hollywood and much more ordinary for it,0
jacobi the most fluent of actors is given relatively dry material from nijinsky's writings to perform and the visuals even erotically frank ones become dullingly repetitive,jacobi the most fluent of actors is given relatively dry material from nijinsky's writings to perform and the visuals even erotically frank ones become dullingly repetitive,1
a well acted and well intentioned snoozer,a rote exercise in both animation and storytelling,0
less a heartfelt appeal for the handicapped than a nice belgian waffle,remember when bond had more glamour than clamor ? no more,0
expect to be reminded of other better films especially seven which director william malone slavishly copies,one of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch,0
showtime is closer to slowtime,journalistically dubious inept and often lethally dull,0
blade ii is still top-heavy with blazing guns cheatfully filmed martial arts disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves,blade ii is still top-heavy with blazing guns cheatfully filmed martial arts disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves,1
generic slasher-movie nonsense but it's not without style,oh it's extreme all right extremely dumb extremely confusing extremely boring,0
the action switches between past and present but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide,the action switches between past and present but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide,1
for all of its insights into the dream world of teen life and its electronic expression through cyber culture the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2-hour running time,even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder however kilmer seems to be posing rather than acting and that leaves a hole in the center of the salton sea,0
there are weird resonances between actor and role here and they're not exactly flattering,there are weird resonances between actor and role here and they're not exactly flattering,1
what puzzles me is the lack of emphasis on music in britney spears' first movie,little more than a well-acted television melodrama shot for the big screen,0
the best drug addition movies are usually depressing but rewarding quitting however manages just to be depressing as the lead actor phones in his autobiographical performance,the best drug addition movies are usually depressing but rewarding quitting however manages just to be depressing as the lead actor phones in his autobiographical performance,1
these self-styled athletes have banged their brains into the ground so frequently and furiously their capacity to explain themselves has gone the same way as their natural instinct for self-preservation,these self-styled athletes have banged their brains into the ground so frequently and furiously their capacity to explain themselves has gone the same way as their natural instinct for self-preservation,1
if you really want to understand what this story is really all about you're far better served by the source material,if you really want to understand what this story is really all about you're far better served by the source material,1
fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur,the director with his fake backdrops and stately pacing never settles on a consistent tone,0
tiresomely derivative and hammily acted,tiresomely derivative and hammily acted,1
murder by numbers is like a couple of mediocre tv-movie -of-the-week films clumsily stuck together,murder by numbers is like a couple of mediocre tv-movie -of-the-week films clumsily stuck together,1
everything that's worthwhile about collision course can already be seen on television,everything that's worthwhile about collision course can already be seen on television,1
where tom green stages his gags as assaults on america's knee-jerk moral sanctimony jackass lacks aspirations of social upheaval,can't get enough of libidinous young city dwellers ? try this obscenely bad dark comedy so crass that it makes edward burns' sidewalks of new york look like oscar wilde,0
'punch-drunk love is so convinced of its own brilliance that if it were a person you'd want to smash its face in ','punch-drunk love is so convinced of its own brilliance that if it were a person you'd want to smash its face in ',1
a reasonably efficient mechanism but it offers few surprises and finds its stars slumming in territory they should have avoided,a reasonably efficient mechanism but it offers few surprises and finds its stars slumming in territory they should have avoided,1
you leave feeling like you've endured a long workout without your pulse ever racing,festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you,0
has little on its mind aside from scoring points with drag gags,the story and characters are nowhere near gripping enough,0
[seagal's] strenuous attempt at a change in expression could very well clinch him this year's razzie,[seagal's] strenuous attempt at a change in expression could very well clinch him this year's razzie,1
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned,1
they presume their audience won't sit still for a sociology lesson however entertainingly presented so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes,it's splash without the jokes,0
at some point all this visual trickery stops being clever and devolves into flashy vaguely silly overkill,the real question this movie poses is not 'who ? ' but 'why ? ',0
do you say " hi " to your lover when you wake up in the morning ?,do you say " hi " to your lover when you wake up in the morning ?,1
long before it's over you'll be thinking of 51 ways to leave this loser,the movie's accumulated force still feels like an ugly knot tightening in your stomach but is that knot from dramatic tension or a symptom of artistic malnutrition ?,0
dull a road-trip movie that's surprisingly short of both adventure and song,between bedroom scenes viewers may find themselves wishing they could roll over and take a nap,0
…the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material,extremely bad,0
it's a trifle of a movie with a few laughs surrounding an unremarkable soft center,ruh-roh romething's really wrong with this ricture,0
ice age is the first computer-generated feature cartoon to feel like other movies and that makes for some glacial pacing early on,the only thing that distinguishes a randall wallace film from any other is the fact that there is nothing distinguishing in a randall wallace film,0
with an unusual protagonist ( a kilt-wearing jackson ) and subject matter the improbable " formula 51 " is somewhat entertaining but it could have been much stronger,loud silly stupid and pointless,0
one of the worst movies of the year watching it was painful,one of the worst movies of the year watching it was painful,1
burns' fifth beer-soaked film feels in almost every possible way -- from the writing and direction to the soggy performances -- tossed off,it wouldn't matter so much that this arrogant richard pryor wannabe's routine is offensive puerile and unimaginatively foul-mouthed if it was at least funny,0
the thrill is ( long ) gone,the thrill is ( long ) gone,1
